Barangay,University,Distance (km),Time (mins),Rides
Buneg,Central Luzon State University,88.09,83.3,3 rides
Buneg,University of Cordilleras,65.47,87.0,3 rides
Buneg,University of Baguio,66.45,90.5,3 rides
Buneg,DMMMSU – Mid La Union Campus (MLUC),69.68,91.0,2 rides
Buneg,Saint Louis University - Baguio,67.12,92.2,3 rides
Buneg,Benguet State University - La Trinidad,71.42,100.4,3 rides
Buneg,Philippine Military Academy,72.1,100.7,3 rides
Buneg,Polytechnic University of the Philippines - Manila,198.88,165.6,4 rides
Buneg,University of the Philippines - Diliman,198.36,165.7,4 rides
Buneg,University of the Philippines - Manila,199.99,169.3,4 rides
Buneg,Maritime Academy of Asia and the Pacific,212.65,179.3,3 rides
Cablong,University of Eastern Pangasinan,9.75,10.9,1 ride
Cablong,Pangasinan State University - Urdaneta City,16.76,16.1,1 ride
Cablong,Urdaneta City University,19.12,18.7,2 rides
Cablong,Pangasinan State University - Asingan,25.11,26.0,2 rides
Cablong,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,28.63,32.6,1 ride
Cablong,DMMMSU – South La Union Campus  (SLUC) - Agoo,34.85,41.2,1 ride
Cablong,University of Pangasinan - PHINMA,25.1,42.6,3 rides
Cablong,Pangasinan Merchant Marine Academy,25.7,44.0,3 rides
Cablong,Lyceum-Northwestern University,27.02,46.8,3 rides
Cablong,University of the Philippines - Baguio,44.78,54.5,2 rides
Cablong,Pangasinan State University - Bayambang,48.18,58.5,2 rides
Cablong,Tarlac State University - Tarlac,78.99,68.5,1 ride
Cablong,Pangasinan State University - Lingayen,42.05,68.8,4 rides
Cablong,Pangasinan Polytechnic College,42.31,69.1,4 rides
Cablong,UP Manila School of Health Sciences - Tarlac,80.25,70.2,-
Cablong,University of Cordilleras,62.43,81.4,2 rides
Cablong,Central Luzon State University,89.31,84.3,2 rides
Cablong,University of Baguio,63.42,85.0,2 rides
Cablong,DMMMSU – Mid La Union Campus (MLUC),66.64,85.4,1 ride
Cablong,Saint Louis University - Baguio,64.09,86.6,2 rides
